,host_is_superhost,cancellation_policy,instant_bookable,property_type,room_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,price_region
4237,1,moderate,1,Apartment,Private room,2.0,1.0,1.0,1.0,98.0,region 50.0-100.0
6356,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
4158,1,moderate,0,Guest suite,Entire home/apt,5.0,1.0,0.0,3.0,98.0,region 50.0-100.0
5357,0,strict_14_with_grace_period,1,House,Private room,4.0,1.0,1.0,3.0,93.0,region 200.0-250.0
570,1,strict_14_with_grace_period,1,Condominium,Entire home/apt,4.0,1.0,2.0,2.0,99.0,region 300.0-350.0
5404,1,strict_14_with_grace_period,0,House,Entire home/apt,6.0,1.0,2.0,2.0,100.0,region 200.0-250.0
5797,0,flexible,0,Guest suite,Entire home/apt,2.0,1.0,1.0,1.0,90.0,region 200.0-250.0
2261,0,strict_14_with_grace_period,0,Apartment,Private room,1.0,1.0,1.0,1.0,99.0,region 50.0-100.0
1902,0,strict_14_with_grace_period,0,House,Entire home/apt,6.0,1.0,3.0,3.0,98.0,Others
883,0,moderate,1,Condominium,Entire home/apt,3.0,1.0,1.0,1.0,97.0,region 300.0-350.0
3224,0,strict_14_with_grace_period,0,Guest suite,Entire home/apt,2.0,1.0,0.0,1.0,96.0,region 50.0-100.0
4409,0,strict_14_with_grace_period,0,Others,Private room,1.0,1.0,0.0,1.0,97.0,region 100.0-150.0
5572,0,strict_14_with_grace_period,0,House,Entire home/apt,4.0,2.0,2.0,2.0,98.0,region 350.0-400.0
6219,0,moderate,0,Guest suite,Entire home/apt,4.0,1.0,2.0,2.0,100.0,region 100.0-150.0
2417,0,moderate,0,Apartment,Entire home/apt,3.0,1.0,1.0,2.0,97.0,region 150.0-200.0
892,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,5.0,2.0,3.0,3.0,96.0,region 250.0-300.0
815,1,strict_14_with_grace_period,0,Apartment,Private room,2.0,1.0,1.0,1.0,99.0,region 50.0-100.0
5072,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,3.0,1.0,1.0,1.0,98.0,region 150.0-200.0
5478,0,moderate,1,Condominium,Entire home/apt,4.0,1.0,2.0,2.0,100.0,region 350.0-400.0
280,0,moderate,0,Apartment,Private room,2.0,1.0,1.0,1.0,97.0,region 50.0-100.0
2830,1,moderate,1,House,Entire home/apt,10.0,2.0,5.0,5.0,100.0,Others
4943,1,strict_14_with_grace_period,1,Others,Private room,2.0,1.0,1.0,1.0,100.0,Others
7084,0,strict_14_with_grace_period,1,Guest suite,Entire home/apt,4.0,1.0,1.0,4.0,98.0,region 100.0-150.0
166,1,moderate,1,Apartment,Private room,1.0,1.0,1.0,1.0,99.0,region 50.0-100.0
4662,1,strict_14_with_grace_period,1,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,100.0,region 100.0-150.0
4610,1,moderate,0,Condominium,Entire home/apt,2.0,1.0,0.0,1.0,100.0,region 100.0-150.0
5511,1,moderate,0,Apartment,Entire home/apt,4.0,1.0,2.0,2.0,100.0,region 100.0-150.0
1734,1,strict_14_with_grace_period,0,House,Private room,2.0,1.0,1.0,1.0,100.0,region 300.0-350.0
6688,1,moderate,1,Apartment,Entire home/apt,4.0,1.0,2.0,2.0,98.0,region 100.0-150.0
2687,1,strict_14_with_grace_period,0,Apartment,Entire home/apt,4.0,2.0,2.0,2.0,96.0,region 100.0-150.0
3907,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,70.0,region 50.0-100.0
3748,0,strict_14_with_grace_period,0,House,Entire home/apt,9.0,1.0,5.0,6.0,100.0,Others
3961,1,moderate,0,House,Private room,2.0,1.0,1.0,1.0,94.0,region 50.0-100.0
4651,0,strict_14_with_grace_period,0,Townhouse,Entire home/apt,6.0,1.0,4.0,4.0,97.0,region 300.0-350.0
454,1,moderate,0,Apartment,Private room,2.0,1.0,1.0,1.0,95.0,region 100.0-150.0
7137,0,strict_14_with_grace_period,0,Hotel,Private room,4.0,1.0,0.0,2.0,98.0,region 150.0-200.0
4487,0,strict_14_with_grace_period,1,House,Entire home/apt,2.0,1.0,0.0,1.0,70.0,region 50.0-100.0
6439,0,flexible,1,Apartment,Entire home/apt,4.0,2.0,2.0,2.0,98.0,region 200.0-250.0
645,1,strict_14_with_grace_period,0,Condominium,Private room,2.0,1.0,1.0,1.0,97.0,region 150.0-200.0
3822,0,strict_14_with_grace_period,0,House,Entire home/apt,4.0,1.0,2.0,2.0,95.0,region 100.0-150.0
5790,0,strict_14_with_grace_period,1,Condominium,Entire home/apt,4.0,1.0,0.0,2.0,98.0,region 200.0-250.0
