,price
4237,74.0
6356,170.0
4158,71.0
5357,249.0
570,310.0
5404,230.0
5797,200.0
2261,80.0
1902,565.0
883,325.0
3224,55.0
4409,130.0
5572,375.0
6219,100.0
2417,198.0
892,259.0
815,90.0
5072,170.0
5478,360.0
280,99.0
2830,1500.0
4943,899.0
7084,109.0
166,80.0
4662,110.0
4610,145.0
5511,135.0
1734,300.0
6688,125.0
2687,140.0
3907,80.0
3748,1500.0
3961,90.0
4651,325.0
454,129.0
7137,199.0
4487,80.0
6439,218.0
645,166.0
3822,140.0
5790,242.0
18,107.0
2497,325.0
3950,279.0
5903,200.0
4968,350.0
2546,400.0
2007,175.0
5641,121.0
2192,140.0
4125,71.0
935,198.0
6724,260.0
2284,185.0
4839,125.0
7068,188.0
101,40.0
6409,200.0
140,90.0
4664,95.0
2597,275.0
3879,150.0
5254,172.0
5880,70.0
1507,350.0
5396,400.0
6553,200.0
4948,400.0
6823,200.0
781,169.0
294,286.0
2042,135.0
5110,250.0
658,130.0
873,90.0
6295,164.0
1722,300.0
2216,400.0
6703,900.0
3977,150.0
1970,475.0
2741,220.0
4826,175.0
457,50.0
2957,100.0
1885,70.0
466,57.0
1071,585.0
4005,63.0
3234,172.0
5376,344.0
319,350.0
339,60.0
5261,137.0
3864,65.0
5931,80.0
5218,83.0
6535,164.0
3734,258.0
4606,129.0
1916,275.0
5846,208.0
502,360.0
5580,129.0
2114,599.0
2536,90.0
6355,164.0
2887,49.0
6801,125.0
1461,62.0
5210,69.0
5134,225.0
6790,550.0
5308,164.0
2699,45.0
575,298.0
5050,176.0
434,178.0
1680,129.0
2405,153.0
2935,69.0
4516,428.0
1269,200.0
6842,300.0
2521,69.0
5807,215.0
5856,350.0
4443,199.0
804,699.0
1275,122.0
335,135.0
4419,200.0
3319,100.0
4844,235.0
4284,199.0
6663,172.0
3997,110.0
1559,99.0
603,150.0
7022,320.0
1954,80.0
684,90.0
546,165.0
5628,125.0
3628,180.0
1597,125.0
324,300.0
1026,333.0
4002,113.0
770,95.0
6670,1200.0
2735,249.0
1004,179.0
914,65.0
6261,147.0
2433,225.0
7007,920.0
2948,119.0
2037,133.0
7001,204.0
563,230.0
786,139.0
3067,35.0
3465,175.0
1025,125.0
2071,250.0
5342,172.0
3164,90.0
4361,350.0
868,180.0
6960,138.0
3392,134.0
6903,165.0
4785,8000.0
5533,60.0
1247,199.0
5799,175.0
4407,223.0
3615,100.0
697,500.0
636,89.0
6108,59.0
1933,65.0
4283,475.0
5810,75.0
6214,53.0
4999,650.0
2821,115.0
1087,230.0
3870,120.0
3339,245.0
4715,170.0
5139,172.0
3092,160.0
3214,120.0
6232,650.0
4858,75.0
6179,224.0
6304,170.0
974,115.0
5193,234.0
1283,129.0
5439,275.0
2842,84.0
5766,94.0
6772,200.0
6383,63.0
1815,75.0
122,30.0
6264,150.0
1536,450.0
2621,135.0
3689,145.0
4317,95.0
5938,229.0
2411,300.0
6580,123.0
4111,250.0
2009,200.0
3494,199.0
3423,69.0
5150,325.0
6496,80.0
452,140.0
441,295.0
614,260.0
6719,200.0
6226,250.0
3842,75.0
4403,170.0
3927,143.0
428,175.0
551,250.0
2173,186.0
6696,200.0
5978,209.0
310,90.0
1634,60.0
3980,73.0
1179,159.0
5141,55.0
1949,115.0
5084,300.0
5624,200.0
4615,68.0
5933,48.0
4365,219.0
4750,75.0
6852,111.0
6249,150.0
3572,695.0
2657,119.0
1267,425.0
1459,99.0
964,398.0
362,139.0
6644,100.0
6488,750.0
4396,80.0
343,43.0
5186,172.0
1704,200.0
3738,595.0
6756,350.0
2455,99.0
3379,197.0
4018,96.0
4760,79.0
2525,124.0
1284,200.0
1048,169.0
2702,70.0
1072,185.0
960,130.0
2767,96.0
5450,283.0
326,285.0
973,200.0
860,55.0
884,105.0
1066,125.0
6116,145.0
2847,199.0
1971,150.0
1748,350.0
6771,110.0
1250,160.0
1392,110.0
6393,75.0
5590,85.0
4069,40.0
3579,300.0
1552,99.0
2877,78.0
422,79.0
4574,460.0
5159,55.0
5361,450.0
5792,299.0
370,121.0
5877,500.0
7119,300.0
5801,85.0
2000,173.0
4841,325.0
6082,272.0
5562,150.0
316,125.0
3730,125.0
6339,164.0
2001,295.0
920,150.0
6205,450.0
6455,204.0
2538,149.0
1868,60.0
6875,47.0
674,275.0
6879,85.0
3967,233.0
4920,110.0
2415,110.0
2439,300.0
3442,75.0
2289,275.0
4468,114.0
882,115.0
822,175.0
6524,143.0
3132,68.0
3612,139.0
2649,275.0
3479,36.0
4114,125.0
4272,150.0
4534,425.0
3044,135.0
5298,185.0
2263,225.0
417,395.0
576,85.0
4405,55.0
4029,200.0
4166,250.0
3804,60.0
6345,160.0
1236,300.0
895,197.0
396,250.0
1661,95.0
6954,180.0
5452,400.0
6237,100.0
4894,189.0
475,35.0
2759,131.0
6976,333.0
4311,250.0
4884,63.0
1595,1000.0
7093,1599.0
5168,104.0
6144,487.0
2705,148.0
1512,139.0
3691,108.0
4800,79.0
21,125.0
2530,159.0
3591,110.0
1806,99.0
3814,225.0
6268,150.0
5889,100.0
2052,350.0
3047,225.0
6891,65.0
4013,180.0
6523,250.0
1088,350.0
4843,160.0
5453,925.0
1158,100.0
5398,150.0
5356,170.0
5798,118.0
3324,200.0
3595,79.0
6240,83.0
2612,118.0
1662,200.0
4682,264.0
6055,299.0
2109,220.0
6105,650.0
5586,145.0
2154,119.0
5783,125.0
3273,120.0
6895,40.0
3601,299.0
402,235.0
1749,160.0
5153,149.0
2398,120.0
4751,250.0
842,110.0
3185,299.0
6424,326.0
4754,75.0
3315,53.0
3421,579.0
4551,165.0
1068,188.0
4296,79.0
2927,180.0
3640,350.0
3082,118.0
4369,150.0
6727,750.0
924,125.0
2408,149.0
2532,141.0
4326,230.0
6628,199.0
3364,123.0
1580,180.0
1898,189.0
825,418.0
1861,109.0
700,250.0
231,299.0
2482,120.0
1613,80.0
6448,215.0
3424,69.0
6639,85.0
7,135.0
5523,417.0
3187,250.0
2592,120.0
934,300.0
371,95.0
5101,100.0
3882,67.0
899,375.0
3791,275.0
5106,140.0
4717,225.0
4496,325.0
5481,125.0
4197,109.0
193,195.0
5037,299.0
1826,59.0
4608,290.0
1696,275.0
4699,150.0
5005,130.0
6998,50.0
3248,189.0
2130,110.0
4904,93.0
6847,175.0
3159,59.0
6224,137.0
746,250.0
1339,135.0
1720,115.0
5019,150.0
4372,150.0
522,150.0
2221,550.0
4379,280.0
303,148.0
487,30.0
3299,350.0
1130,130.0
6569,150.0
1129,210.0
171,30.0
2643,97.0
197,45.0
6327,150.0
6803,62.0
2675,336.0
5471,700.0
3003,350.0
221,250.0
5391,350.0
5736,349.0
5109,350.0
3041,119.0
87,40.0
3516,110.0
3655,192.0
5325,250.0
6602,100.0
4749,110.0
4009,50.0
6834,187.0
5754,60.0
745,145.0
2480,150.0
2141,55.0
2967,110.0
1888,38.0
4215,87.0
5185,70.0
1781,240.0
2371,180.0
3134,209.0
1134,145.0
3415,225.0
2023,59.0
5400,190.0
2864,480.0
5822,215.0
1689,255.0
5742,142.0
4653,120.0
448,124.0
2268,125.0
1996,450.0
836,225.0
6547,200.0
57,125.0
3036,259.0
1609,215.0
3651,350.0
7049,220.0
2769,235.0
5568,191.0
263,95.0
4055,450.0
525,68.0
6213,200.0
2996,130.0
3875,65.0
4483,93.0
6467,80.0
3896,325.0
6280,200.0
4306,46.0
3524,239.0
6849,91.0
6865,165.0
5554,186.0
1708,200.0
5806,500.0
5285,78.0
5365,72.0
3219,157.0
5896,95.0
3735,65.0
4120,69.0
6965,199.0
6063,450.0
5543,499.0
2650,115.0
5407,125.0
928,145.0
3523,50.0
7108,139.0
5024,150.0
4745,85.0
538,210.0
253,160.0
1423,60.0
3370,120.0
393,350.0
2,65.0
7003,150.0
2073,176.0
816,60.0
2629,220.0
5213,800.0
6000,220.0
2765,189.0
2787,88.0
476,289.0
599,950.0
4397,82.0
3937,450.0
1151,140.0
4297,185.0
3171,249.0
3349,116.0
3113,110.0
